"구분(1)",구분(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분(1)",구분(2),TV/라디오,TV/라디오,신문/잡지,신문/잡지,환경부 지자체 홈페이지,환경부 지자체 홈페이지,포털사이트,포털사이트,SNS,SNS,버스/열차 등 광고,버스/열차 등 광고,옥외 전광판,옥외 전광판,세미나/포럼/설명회 등,세미나/포럼/설명회 등,주변 사람,주변 사람,기타,기타,해당사항 없음,해당사항 없음
"구분(1)",구분(2),1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위
"지역",경기도 용인시,63.5,77.4,3.2,20.4,0.4,0.5,11.0,30.9,0.7,3.5,0.0,1.0,0.0,0.2,0.0,0.0,7.8,27.1,0.0,0.0,13.3,13.3
"지역",경기도 파주시,58.6,74.5,0.5,9.5,0.4,0.6,12.6,32.1,0.2,2.6,0.1,1.2,0.5,2.8,0.0,0.0,13.9,43.4,0.0,0.0,13.2,13.2
"지역",경기도 이천시,68.4,75.1,1.3,11.6,0.0,0.9,3.0,24.5,3.1,15.7,0.0,3.8,0.0,1.6,0.0,0.0,3.9,8.8,0.0,0.0,20.2,20.2
"지역",경기도 안성시,34.8,56.2,3.5,14.4,5.3,9.3,17.1,24.4,6.2,7.7,0.8,3.8,1.6,8.0,0.0,1.1,13.7,33.7,0.0,0.0,17.0,17.0
"지역",경기도 김포시,77.4,86.2,9.8,17.1,1.1,1.1,3.6,29.7,0.2,0.9,2.6,7.2,3.0,12.2,0.2,0.8,1.5,32.2,0.0,0.0,0.5,0.5
"지역",경기도 화성시,61.5,76.2,1.1,5.3,0.5,1.4,15.0,34.7,0.5,4.8,0.2,2.0,4.7,9.4,0.4,1.1,8.3,26.9,0.1,0.6,7.8,7.8
"지역",경기도 광주시,40.8,55.9,6.3,12.6,2.3,4.2,11.4,23.1,2.7,5.8,1.3,2.3,1.0,5.6,0.1,2.4,7.9,18.5,0.0,0.0,26.3,26.3
"지역",경기도 양주시,56.3,64.6,1.1,8.8,1.7,3.0,0.5,8.9,4.0,7.3,2.5,17.3,11.4,20.3,0.3,8.3,18.0,43.1,0.0,0.0,4.2,4.2
"지역",경기도 포천시,44.4,47.1,0.7,19.6,0.3,1.1,0.3,5.8,0.1,0.6,0.0,1.6,0.0,4.2,0.0,0.2,6.4,21.2,0.0,0.0,47.8,47.8
"지역",경기도 여주시,49.0,58.9,0.6,3.3,1.1,2.6,15.4,23.5,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,13.0,40.8,0.0,0.0,20.9,20.9
"지역",경기도 연천군,65.0,78.3,4.1,7.5,0.7,4.1,2.5,12.6,0.4,1.8,1.8,10.2,6.1,21.4,0.0,1.0,12.3,36.7,0.0,0.0,7.0,7.0
