"구분1(1)",구분1(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분1(1)",구분1(2),사용 여부 (%),사용 여부 (%),구매 여부 (%),구매 여부 (%),사용 기간,사용 기간,사용 기간,사용 기간,사용 기간,사용 기간
"구분1(1)",구분1(2),사용한다,사용하지 않는다,빌트인(내장형),직접구매/임대,1년 미만 (%),1년~3년 미만 (%),3년~5년 미만 (%),5년~10년 미만 (%),10년 이상 (%),평균 사용기간 (개월)
"지역",전라남도 순천시,47.6,52.4,3.5,96.5,3.6,18.8,21.1,30.7,25.9,78.2
"지역",전라남도 나주시,41.7,58.3,16.1,83.9,4.7,16.1,17.9,30.6,30.7,94.8
"지역",전라남도 광양시,45.1,54.9,5.9,94.1,6.2,18.2,13.8,22.6,39.3,95.6
"지역",전라남도 담양군,38.4,61.6,1.2,98.8,7.4,11.6,26.0,27.1,27.9,81.8
"지역",전라남도 곡성군,37.8,62.2,10.7,89.3,6.4,27.0,17.5,24.5,24.6,73.4
"지역",전라남도 구례군,31.5,68.5,5.9,94.1,8.6,10.4,12.7,29.1,39.2,97.6
"지역",전라남도 고흥군,37.4,62.6,0.8,99.2,0.9,16.9,23.2,28.7,30.3,89.3
"지역",전라남도 보성군,42.1,57.9,0.6,99.4,1.7,14.6,18.8,31.2,33.7,88.4
"지역",전라남도 화순군,45.1,54.9,0.5,99.5,7.2,17.0,13.3,30.6,31.8,79.6
"지역",전라남도 장흥군,36.3,63.7,1.4,98.6,7.5,16.6,22.6,18.3,35.0,85.2
"지역",전라남도 강진군,33.5,66.5,38.5,61.5,4.2,36.6,42.4,16.8,0.0,41.6
"지역",전라남도 해남군,45.2,54.8,0.6,99.4,2.5,19.6,15.7,33.1,29.0,85.5
"지역",전라남도 영암군,49.7,50.3,19.1,80.9,1.2,12.0,23.5,45.2,18.1,77.5
"지역",전라남도 무안군,44.6,55.4,3.3,96.7,1.6,11.7,14.7,32.6,39.4,98.8
"지역",전라남도 함평군,35.0,65.0,2.8,97.2,8.6,18.0,14.8,13.5,45.0,98.1
"지역",전라남도 영광군,48.6,51.4,3.4,96.6,3.6,13.4,11.6,25.5,45.9,101.6
"지역",전라남도 장성군,42.4,57.6,1.8,98.2,1.1,15.9,13.9,23.0,46.1,99.5
"지역",전라남도 완도군,46.8,53.2,0.7,99.3,9.7,10.1,22.2,37.2,20.7,79.4
"지역",전라남도 진도군,46.2,53.8,2.8,97.2,8.6,17.5,18.9,27.0,28.0,79.8
"지역",전라남도 신안군,36.4,63.6,1.1,98.9,2.3,19.5,18.0,29.7,30.5,75.7
"지역",경상북도 포항시,57.0,43.0,1.3,98.7,1.2,5.6,12.9,27.3,53.0,124.5
"지역",경상북도 경주시,45.7,54.3,1.0,99.0,4.6,14.9,13.2,26.2,41.1,100.5
"지역",경상북도 김천시,37.0,63.0,1.9,98.1,5.3,11.7,17.7,30.6,34.7,97.6
"지역",경상북도 안동시,46.0,54.0,0.6,99.4,3.6,9.4,13.1,43.2,30.7,90.8
"지역",경상북도 구미시,50.4,49.6,0.5,99.5,1.0,14.4,20.4,36.4,27.8,79.6
"지역",경상북도 영주시,42.5,57.5,0.4,99.6,2.4,16.7,20.1,29.7,31.0,89.8
"지역",경상북도 영천시,43.8,56.2,0.4,99.6,0.4,10.8,21.3,26.7,40.8,100.9
"지역",경상북도 상주시,46.2,53.8,0.0,100.0,5.5,7.3,8.6,29.1,49.5,97.0
"지역",경상북도 문경시,45.3,54.7,0.0,100.0,1.1,24.8,30.2,15.4,28.5,71.3
"지역",경상북도 경산시,41.6,58.4,0.0,100.0,0.4,4.6,15.6,43.1,36.3,94.2
"지역",경상북도 군위군,33.0,67.0,0.0,100.0,0.0,5.3,34.3,55.3,5.1,62.7
"지역",경상북도 의성군,43.0,57.0,0.0,100.0,0.6,17.9,12.1,15.5,53.9,109.9
"지역",경상북도 청송군,47.3,52.7,0.9,99.1,4.9,17.5,24.7,27.3,25.7,67.3
"지역",경상북도 영양군,47.7,52.3,0.0,100.0,2.9,21.3,32.2,26.3,17.3,56.3
"지역",경상북도 영덕군,45.1,54.9,1.3,98.7,2.5,18.9,13.9,35.0,29.6,82.7
"지역",경상북도 청도군,29.9,70.1,0.0,100.0,2.7,10.5,28.5,29.5,28.9,87.8
"지역",경상북도 고령군,35.2,64.8,0.0,100.0,0.0,14.4,51.2,34.5,0.0,45.8
"지역",경상북도 성주군,37.8,62.2,0.0,100.0,1.7,11.9,16.0,52.7,17.7,70.4
"지역",경상북도 칠곡군,43.4,56.6,0.0,100.0,4.8,14.5,12.3,30.0,38.5,101.7
"지역",경상북도 예천군,43.4,56.6,1.1,98.9,5.9,21.6,21.2,25.2,26.1,73.6
"지역",경상북도 봉화군,36.9,63.1,0.0,100.0,0.0,17.0,21.0,42.3,19.6,70.3
"지역",경상북도 울진군,49.5,50.5,0.0,100.0,2.1,7.4,8.6,34.6,47.3,93.5
"지역",경상북도 울릉군,43.0,57.0,0.0,100.0,7.8,19.3,35.0,26.9,11.0,55.3
"지역",경상남도 창원시,55.4,44.6,1.7,98.3,3.6,15.1,12.1,22.9,46.4,101.6
"지역",경상남도 진주시,48.1,51.9,4.0,96.0,6.2,14.1,21.5,23.6,34.6,89.8
"지역",경상남도 통영시,53.4,46.6,2.2,97.8,3.8,18.7,23.3,27.2,27.0,74.7
"지역",경상남도 사천시,46.1,53.9,0.4,99.6,9.4,20.4,20.2,29.6,20.4,65.0
"지역",경상남도 김해시,53.9,46.1,6.0,94.0,5.9,15.0,12.4,18.3,48.3,105.1
"지역",경상남도 밀양시,45.5,54.5,1.2,98.8,2.5,14.9,17.2,32.0,33.4,87.4
"지역",경상남도 거제시,50.1,49.9,2.1,97.9,8.8,11.6,19.3,19.5,40.8,92.6
"지역",경상남도 양산시,53.7,46.3,0.7,99.3,4.4,12.2,15.0,22.5,46.0,97.1
"지역",경상남도 의령군,31.4,68.6,0.0,100.0,7.1,10.0,12.8,25.6,44.5,100.2
"지역",경상남도 함안군,49.1,50.9,2.0,98.0,6.5,16.8,14.9,27.3,34.6,91.6
"지역",경상남도 창녕군,37.7,62.3,0.0,100.0,6.6,25.2,17.4,26.1,24.7,67.5
"지역",경상남도 고성군,39.1,60.9,0.9,99.1,5.0,21.9,11.7,12.8,48.7,107.4
"지역",경상남도 남해군,29.0,71.0,0.0,100.0,4.0,22.1,21.3,17.3,35.3,87.9
"지역",경상남도 하동군,28.8,71.2,2.2,97.8,10.8,28.3,34.2,10.7,16.1,54.5
"지역",경상남도 산청군,25.8,74.2,0.0,100.0,1.2,19.1,17.9,38.9,23.0,74.1
"지역",경상남도 함양군,45.6,54.4,0.0,100.0,0.8,10.4,16.6,27.6,44.6,96.0
"지역",경상남도 거창군,32.3,67.7,0.9,99.1,4.6,15.8,29.9,24.3,25.4,72.9
"지역",경상남도 합천군,34.8,65.2,5.0,95.0,2.6,17.7,17.6,24.0,38.1,90.9
"지역",제주특별자치도,31.4,68.6,2.8,97.2,5.5,30.6,19.2,25.0,19.7,62.0
"가구원 수",1인가구,24.5,75.5,4.1,95.9,5.8,25.0,19.2,26.3,23.7,71.7
"가구원 수",2인가구,48.8,51.2,3.6,96.4,3.7,15.6,17.6,29.6,33.5,89.6
"가구원 수",3인가구,66.6,33.4,3.0,97.0,2.0,13.5,19.8,35.9,28.8,84.9
"가구원 수",4인가구,76.7,23.3,3.1,96.9,1.6,10.2,17.6,36.6,34.0,91.1
"가구원 수",5인가구 이상,75.6,24.4,4.3,95.7,1.8,10.6,16.4,31.6,39.6,95.3
"가구원 구성",1세대 가구,50.6,49.4,4.8,95.2,3.5,16.1,18.1,29.4,32.9,88.6
"가구원 구성",2세대 가구,69.4,30.6,2.6,97.4,1.9,11.5,18.4,36.1,32.2,89.0
"가구원 구성",3세대 가구,71.2,28.8,3.3,96.7,2.2,10.9,15.2,30.4,41.4,98.1
"가구원 구성",4세대 이상 가구,84.8,15.2,26.4,73.6,7.2,17.3,22.1,20.3,33.2,77.7
"가구원 구성",1인 가구,24.5,75.5,4.1,95.9,5.8,25.0,19.2,26.3,23.7,71.7
"가구원 구성",비친족 가구,42.4,57.6,4.2,95.8,10.4,36.4,16.2,18.3,18.8,59.1
"가구원 구성",기타,90.2,9.8,0.0,100.0,8.3,10.1,36.5,9.9,35.1,90.7
"주택 종류",단독주택,38.8,61.2,2.1,97.9,3.4,15.6,18.5,29.7,32.9,87.0
"주택 종류",아파트,60.1,39.9,3.8,96.2,2.7,13.6,17.7,33.6,32.4,88.5
"주택 종류",연립ㆍ다세대주택,50.5,49.5,3.0,97.0,2.7,15.7,19.9,35.5,26.2,80.2
"주택 종류",오피스텔,21.5,78.5,13.6,86.4,6.8,36.0,29.4,19.3,8.5,48.1
"주택 종류",기타,59.1,40.9,1.8,98.2,2.7,17.3,15.5,26.4,38.1,99.1
"주택 연한",5년 미만,51.1,48.9,2.1,97.9,3.7,25.0,26.6,25.7,19.0,65.4
"주택 연한",5년~10년 미만,52.6,47.4,3.3,96.7,2.7,16.1,20.3,36.7,24.1,78.2
"주택 연한",10년~20년 미만,55.6,44.4,2.8,97.2,2.6,13.0,17.5,33.9,33.0,89.0
"주택 연한",20년~30년 미만,51.6,48.4,3.7,96.3,2.6,12.9,16.9,32.8,34.8,92.0
"주택 연한",30년 이상 ,41.3,58.7,5.1,94.9,3.8,13.4,15.7,30.5,36.6,92.7
